127.0.0.1 - - [30/Jul/2017:13:32:43 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:34:48 +0530] "OPTIONS /application/webapi/schedule HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:34:56 +0530] "POST /application/webapi/schedule HTTP/1.1" 201 44
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:35:30 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:36:45 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:42:02 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:43:37 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:43:52 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:45:16 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:45:19 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:46:03 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:46:07 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:46:33 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:50:17 +0530] "OPTIONS /application/webapi/schedule HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:50:18 +0530] "POST /application/webapi/schedule HTTP/1.1" 201 41
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:51:51 +0530] "OPTIONS /application/webapi/schedule HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:51:52 +0530] "POST /application/webapi/schedule HTTP/1.1" 201 36
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:54:55 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:55:32 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:55:59 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:57:25 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:57:39 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:13:59:54 +0530] "GET /application/webapi/schedule/schd HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [30/Jul/2017:14:15:22 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [30/Jul/2017:14:32:56 +0530] "GET /application/webapi/schedule/Task1 HTTP/1.1" 200 124
